,title,authors
166,Camera Lens Super-Resolution,"Chang Chen,  Zhiwei Xiong,  Xinmei Tian,  Zheng-Jun Zha,  Feng Wu"
167,Frame-Consistent Recurrent Video Deraining With Dual-Level Flow,"Wenhan Yang,  Jiaying Liu,  Jiashi Feng"
168,Deep Plug-And-Play Super-Resolution for Arbitrary Blur Kernels,"Kai Zhang,  Wangmeng Zuo,  Lei Zhang"
169,Sea-Thru: A Method for Removing Water From Underwater Images,"Derya Akkaynak,  Tali Treibitz"
170,Deep Network Interpolation for Continuous Imagery Effect Transition,"Xintao Wang,  Ke Yu,  Chao Dong,  Xiaoou Tang,  Chen Change Loy"
171,Spatially Variant Linear Representation Models for Joint Filtering,"Jinshan Pan,  Jiangxin Dong,  Jimmy S. Ren,  Liang Lin,  Jinhui Tang,  Ming-Hsuan Yang"
172,Toward Convolutional Blind Denoising of Real Photographs,"Shi Guo,  Zifei Yan,  Kai Zhang,  Wangmeng Zuo,  Lei Zhang"
173,Towards Real Scene Super-Resolution With Raw Images,"Xiangyu Xu,  Yongrui Ma,  Wenxiu Sun"
174,ODE-Inspired Network Design for Single Image Super-Resolution,"Xiangyu He,  Zitao Mo,  Peisong Wang,  Yang Liu,  Mingyuan Yang,  Jian Cheng"
175,Blind Image Deblurring With Local Maximum Gradient Prior,"Liang Chen,  Faming Fang,  Tingting Wang,  Guixu Zhang"
176,Attention-Guided Network for Ghost-Free High Dynamic Range Imaging,"Qingsen Yan,  Dong Gong,  Qinfeng Shi,  Anton van den Hengel,  Chunhua Shen,  Ian Reid,  Yanning Zhang"
177,Searching for a Robust Neural Architecture in Four GPU Hours,"Xuanyi Dong,  Yi Yang"
178,Hierarchy Denoising Recursive Autoencoders for 3D Scene Layout Prediction,"Yifei Shi,  Angel X. Chang,  Zhelun Wu,  Manolis Savva,  Kai Xu"
179,Adaptively Connected Neural Networks,"Guangrun Wang,  Keze Wang,  Liang Lin"
